frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
459,13,[322.6790771484375 426.5947265625 1079.90869140625 861.220458984375],[901.5741577148438 717.61962890625 1013.1179809570312 773.5061645507812],0.6943737268447876,Invalid plate structure,0.22088870586406245
460,13,[296.0629577636719 424.9871520996094 1063.762451171875 864.5381469726562],[874.2544555664062 719.757568359375 989.8319091796875 772.81884765625],0.6742746829986572,Invalid plate structure,0.5425034912948276
461,13,[267.54290771484375 421.5356140136719 1048.39599609375 866.95263671875],[848.6788330078125 719.4091796875 963.434326171875 773.3032836914062],0.682054877281189,Invalid plate structure,0.1695142749226392
462,13,[243.41592407226562 422.7356872558594 1015.2236328125 868.3170166015625],[818.6063232421875 722.5108642578125 935.6240844726562 778.1343994140625],0.7114565968513489,Invalid plate structure,0.12851547063370056
463,13,[216.74203491210938 421.9153747558594 989.156005859375 870.586181640625],[790.4698486328125 726.0687255859375 906.1632080078125 778.0128173828125],0.7085452675819397,Invalid plate structure,0.11548066101725785
464,13,[189.92010498046875 417.91351318359375 966.226806640625 871.4899291992188],[761.4976806640625 724.973388671875 882.4122314453125 779.3846435546875],0.7277255654335022,Invalid plate structure,0.20129641776347487
465,13,[163.1846923828125 416.7309265136719 938.9895629882812 878.552001953125],[731.2725830078125 725.0838623046875 857.7823486328125 781.0994873046875],0.7177083492279053,Invalid plate structure,0.3370599966796229
466,13,[138.404296875 411.8873291015625 914.01123046875 878.88525390625],[700.8017578125 725.3501586914062 830.31005859375 781.0017700195312],0.7071491479873657,Invalid plate structure,0.28133153025162655
467,13,[112.86053466796875 410.1669616699219 890.4739379882812 880.9083251953125],[674.0418090820312 725.1624755859375 804.1093139648438 781.33642578125],0.702505350112915,Invalid plate structure,0.11929777665608003
468,13,[85.97662353515625 408.0370788574219 869.2472534179688 883.5220947265625],[645.85546875 725.8833618164062 772.976806640625 779.2392578125],0.6988067626953125,Invalid plate structure,0.1554766932724606
469,13,[58.98138427734375 405.6208190917969 844.241455078125 881.546875],[616.1244506835938 725.926025390625 749.9141235351562 779.721435546875],0.7266934514045715,Invalid plate structure,0.29605763920145856
470,13,[33.8250732421875 404.5623779296875 819.4810180664062 887.2218017578125],[586.3385009765625 727.404296875 719.1403198242188 784.35009765625],0.726656973361969,Invalid plate structure,0.29684553542557096
471,13,[2.006103515625 400.9137268066406 788.9285888671875 889.1057739257812],[556.2010498046875 728.3931884765625 690.7802734375 784.6686401367188],0.721697211265564,Invalid plate structure,0.2337272267878753
472,13,[0.0 392.1156921386719 764.1778564453125 892.95849609375],[521.8876953125 727.0977172851562 664.242431640625 788.1201782226562],0.6966629028320312,Invalid plate structure,0.3334696115518228
473,13,[0.0 391.8548583984375 734.7650756835938 891.2741088867188],[486.94293212890625 727.197998046875 636.1912841796875 792.554931640625],0.6935479640960693,Invalid plate structure,0.3396234147034746
474,13,[0.0 396.5155334472656 711.8920288085938 899.0813598632812],[456.568359375 733.8642578125 601.2725830078125 792.38134765625],0.7221006751060486,Invalid plate structure,0.20325787540170515
475,13,[0.0 390.8205871582031 676.5513305664062 903.654052734375],[420.488525390625 733.91455078125 572.4169921875 795.7706298828125],0.6748589277267456,Invalid plate structure,0.3313440207313802
476,13,[0.0 388.1363525390625 652.690673828125 904.4859008789062],[383.86358642578125 733.562744140625 541.5003662109375 800.14208984375],0.7231655120849609,Invalid plate structure,0.31087751193771246
477,13,[0.0 379.238525390625 622.811767578125 906.8527221679688],[350.49700927734375 732.424560546875 511.17791748046875 798.0819091796875],0.7017326354980469,Invalid plate structure,0.4383341865085532
478,13,[0.0 376.2008056640625 590.8504638671875 906.8095703125],[308.2032165527344 732.053466796875 476.92803955078125 796.2509765625],0.6752285957336426,Invalid plate structure,0.42320123851831265
479,13,[0.0 380.712158203125 557.753173828125 905.90478515625],[271.30194091796875 731.7434692382812 439.1951904296875 798.4144287109375],0.6925597786903381,Invalid plate structure,0.4088123855611542
480,13,[0.0 370.295654296875 527.0726318359375 896.1290283203125],[234.9408416748047 732.5501708984375 404.0147705078125 798.1383056640625],0.6718664169311523,Invalid plate structure,0.47289811915292745
481,13,[0.45172119140625 369.61669921875 495.6459045410156 892.9417724609375],[192.71209716796875 730.0279541015625 372.11431884765625 799.3687133789062],0.6611313223838806,Invalid plate structure,0.5371054890484289
482,13,[0.5390167236328125 366.1387023925781 462.316162109375 895.638427734375],[153.28262329101562 730.1823120117188 334.64764404296875 800.6904296875],0.6727792620658875,Invalid plate structure,0.24293735559668458
483,13,[0.68426513671875 367.0789489746094 426.4266357421875 895.455078125],[107.65290069580078 728.6444091796875 297.8269348144531 801.8536376953125],0.6972184777259827,Invalid plate structure,0.44454936215372354
484,13,[0.0 370.6260070800781 391.1351318359375 895.3582763671875],[63.92362976074219 728.9456176757812 258.92596435546875 802.2861328125],0.7189271450042725,Invalid plate structure,0.45560164599865566
485,13,[0.8578605651855469 364.2296447753906 357.970458984375 899.052978515625],[24.085647583007812 728.567138671875 219.42466735839844 802.0651245117188],0.6739498972892761,Invalid plate structure,0.6670858553997747
486,13,[2.009937286376953 365.2786560058594 320.4810791015625 900.381591796875],[3.684041976928711 730.370849609375 176.6699981689453 801.6849365234375],0.6770049929618835,Invalid plate structure,0.3322145554122348
487,13,[2.665191650390625 363.6653747558594 284.24371337890625 901.6636962890625],[3.956817626953125 733.637451171875 132.7801513671875 799.5447998046875],0.6577274203300476,Invalid plate structure,0.3010488132128673
500,7,[353.34576416015625 404.4778747558594 1079.533203125 851.7650756835938],[966.935546875 598.7904052734375 1069.4420166015625 654.2612915039062],0.410664439201355,Invalid plate structure,0.1485106186920577
501,7,[328.4559631347656 406.2973937988281 1080.0 856.5294189453125],[938.4061889648438 600.367431640625 1045.4359130859375 661.2986450195312],0.5908545851707458,Invalid plate structure,0.030046983186208628
502,7,[305.1977233886719 402.14666748046875 1080.0 860.8489379882812],[915.5068359375 601.1585083007812 1023.9990234375 661.3716430664062],0.6011207699775696,Invalid plate structure,0.08195201643127087
503,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[887.0535278320312 602.23974609375 997.4401245117188 660.490478515625],0.5969933867454529,Invalid plate structure,0.26028512246252183
504,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[856.9531860351562 598.64453125 975.4857788085938 663.1484985351562],0.6160621047019958,Invalid plate structure,0.050484611922808204
505,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[829.5309448242188 602.8452758789062 939.3836059570312 661.1905517578125],0.5977332592010498,Invalid plate structure,0.06238432810552801
506,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[805.7373046875 604.274169921875 913.2645263671875 660.0228881835938],0.5970975160598755,Invalid plate structure,0.15924707305004782
507,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[779.14599609375 602.689453125 889.09423828125 660.6619262695312],0.6440050005912781,Invalid plate structure,0.12474857677301436
508,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[752.120849609375 601.348876953125 866.454833984375 663.1492919921875],0.6141409277915955,Invalid plate structure,0.06301914279032493
509,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[727.137939453125 603.0159912109375 839.4991455078125 658.1314086914062],0.6239771842956543,Invalid plate structure,0.1461964300675445
510,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[700.045654296875 604.1138305664062 814.8590087890625 659.9688720703125],0.5321983695030212,Invalid plate structure,0.08583103100765152
511,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[673.4957275390625 602.543212890625 792.2744140625 659.960693359375],0.6390834450721741,Invalid plate structure,0.1765269858231213
512,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[645.95166015625 602.743896484375 768.76953125 661.100341796875],0.5566419959068298,Invalid plate structure,0.21162073490789673
513,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[621.4808349609375 605.2621459960938 738.6923217773438 656.390380859375],0.6371815800666809,Invalid plate structure,0.11793188400503589
514,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[589.4012451171875 603.50634765625 707.831298828125 657.798095703125],0.6060115098953247,Invalid plate structure,0.2339709254084463
515,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[557.7433471679688 603.0611572265625 685.646728515625 661.4710693359375],0.5618929266929626,Invalid plate structure,0.08682711832917205
516,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[525.8209228515625 604.01806640625 658.9479370117188 665.6322021484375],0.5868822336196899,Invalid plate structure,0.22643664560079552
517,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[489.19384765625 605.96728515625 625.4617919921875 666.749755859375],0.6208928227424622,Invalid plate structure,0.12973094035355792
518,7,[278.873291015625 401.4895935058594 1058.25244140625 862.575927734375],[457.1384582519531 604.4122924804688 594.6224365234375 668.3889770507812],0.5646631121635437,Invalid plate structure,0.1008578178895755
